Timestamp,Server 1,Server 2,Server 3,Server 4
2024-11-26 15:25:19,18.00%,37.25%,37.50%,29.25%
2024-11-26 15:25:21,31.00%,36.75%,29.00%,28.74%
2024-11-26 15:25:23,32.25%,29.25%,30.50%,22.25%
2024-11-26 15:25:25,24.25%,29.25%,37.25%,22.25%
2024-11-26 15:25:27,24.00%,30.00%,34.25%,37.50%
2024-11-26 15:25:29,40.25%,26.25%,31.25%,28.50%
2024-11-26 15:25:31,32.00%,26.25%,33.25%,30.00%
2024-11-26 15:25:33,28.50%,29.25%,34.25%,36.00%
2024-11-26 15:25:35,29.00%,31.00%,33.25%,29.25%
2024-11-26 15:25:37,27.25%,24.25%,24.50%,33.50%
2024-11-26 15:25:39,35.25%,30.25%,25.25%,24.25%
2024-11-26 15:25:41,34.25%,39.25%,33.25%,20.75%
2024-11-26 15:25:43,36.25%,27.25%,28.25%,25.00%
2024-11-26 15:25:45,34.50%,30.25%,21.25%,23.25%
2024-11-26 15:25:47,31.25%,27.00%,32.25%,34.00%
2024-11-26 15:25:49,21.25%,37.25%,39.25%,26.00%
2024-11-26 15:25:51,29.00%,27.25%,38.25%,27.25%
2024-11-26 15:25:53,17.50%,21.25%,46.50%,23.25%
2024-11-26 15:25:55,29.25%,25.25%,29.50%,36.00%
2024-11-26 15:25:57,20.25%,35.25%,25.25%,38.50%
2024-11-26 15:25:59,19.25%,41.50%,34.25%,35.50%
2024-11-26 15:26:01,31.00%,26.25%,39.25%,20.00%
2024-11-26 15:26:03,37.50%,36.25%,34.00%,29.00%
2024-11-26 15:26:05,38.00%,39.50%,29.50%,33.00%
2024-11-26 15:26:07,24.25%,42.50%,31.25%,33.00%
2024-11-26 15:26:09,N/A,37.00%,31.50%,26.25%
2024-11-26 15:26:11,N/A,29.00%,21.25%,40.50%
2024-11-26 15:26:13,N/A,28.25%,30.25%,23.00%
2024-11-26 15:26:15,30.00%,39.25%,29.00%,23.00%
2024-11-26 15:26:17,25.25%,29.25%,34.50%,38.25%
2024-11-26 15:26:19,29.75%,34.25%,31.25%,29.25%
2024-11-26 15:26:21,30.50%,34.25%,37.25%,32.50%
2024-11-26 15:26:23,33.25%,31.25%,28.00%,32.50%
2024-11-26 15:26:25,32.00%,32.25%,29.00%,37.25%
2024-11-26 15:26:27,31.00%,36.00%,31.25%,46.25%
2024-11-26 15:26:29,28.25%,26.25%,34.25%,35.00%
2024-11-26 15:26:31,32.00%,31.00%,25.25%,31.50%
2024-11-26 15:26:33,27.00%,27.25%,25.50%,31.25%
2024-11-26 15:26:35,35.25%,28.00%,34.50%,30.00%
2024-11-26 15:26:37,32.25%,32.25%,28.00%,34.25%
2024-11-26 15:26:39,33.25%,24.00%,33.00%,27.00%
2024-11-26 15:26:41,20.00%,33.25%,43.25%,32.75%
2024-11-26 15:26:43,26.00%,31.00%,23.25%,35.00%
2024-11-26 15:26:45,29.25%,N/A,30.25%,31.00%
2024-11-26 15:26:47,32.25%,N/A,38.50%,30.50%
2024-11-26 15:26:49,34.50%,N/A,23.25%,29.00%
2024-11-26 15:26:51,33.50%,37.25%,32.25%,35.25%
2024-11-26 15:26:53,36.00%,39.00%,35.00%,28.25%
2024-11-26 15:26:55,37.00%,36.00%,35.00%,37.00%
2024-11-26 15:26:57,31.50%,25.25%,38.25%,28.25%
2024-11-26 15:26:59,28.75%,29.00%,20.00%,34.25%
2024-11-26 15:27:01,29.25%,24.50%,27.50%,32.00%
2024-11-26 15:27:03,27.00%,29.00%,42.25%,19.50%
2024-11-26 15:27:05,23.25%,23.50%,35.50%,37.25%
2024-11-26 15:27:07,40.00%,32.50%,22.50%,28.25%
2024-11-26 15:27:09,19.50%,29.25%,40.00%,34.25%
2024-11-26 15:27:12,36.50%,29.00%,N/A,25.00%
2024-11-26 15:27:14,37.00%,26.50%,N/A,29.25%
2024-11-26 15:27:16,29.25%,17.25%,N/A,25.00%
2024-11-26 15:27:18,40.25%,31.25%,N/A,27.25%
2024-11-26 15:27:20,26.00%,29.25%,N/A,34.74%
2024-11-26 15:27:22,37.00%,38.25%,N/A,32.25%
2024-11-26 15:27:24,24.25%,33.25%,N/A,27.00%
2024-11-26 15:27:26,21.25%,31.00%,N/A,28.00%
2024-11-26 15:27:28,37.00%,36.25%,30.25%,20.25%
2024-11-26 15:27:30,21.25%,24.25%,31.25%,27.25%
2024-11-26 15:27:32,27.00%,23.50%,46.25%,29.50%
2024-11-26 15:27:34,17.25%,25.00%,30.25%,25.00%
2024-11-26 15:27:36,25.00%,25.25%,34.50%,29.00%
2024-11-26 15:27:38,43.50%,27.25%,28.50%,25.25%
2024-11-26 15:27:40,23.25%,30.00%,31.50%,29.25%
2024-11-26 15:27:42,37.00%,32.00%,31.00%,25.25%
2024-11-26 15:27:44,28.25%,33.25%,35.00%,29.25%
2024-11-26 15:27:46,24.00%,28.25%,30.25%,31.00%
2024-11-26 15:27:48,37.25%,33.25%,27.00%,23.50%
2024-11-26 15:27:50,34.00%,39.25%,31.25%,23.50%
2024-11-26 15:27:52,23.25%,28.50%,34.00%,25.50%
2024-11-26 15:27:54,30.25%,24.00%,32.00%,29.25%
2024-11-26 15:27:56,31.25%,30.25%,24.25%,25.00%
2024-11-26 15:27:58,28.25%,26.25%,20.25%,26.00%
2024-11-26 15:28:00,30.25%,23.25%,32.00%,16.25%
2024-11-26 15:28:02,31.25%,39.25%,31.25%,30.25%
2024-11-26 15:28:04,37.25%,50.50%,33.25%,38.25%
2024-11-26 15:28:06,35.00%,35.25%,29.25%,30.50%
2024-11-26 15:28:08,23.25%,31.00%,29.50%,23.50%
2024-11-26 15:28:10,24.25%,28.25%,35.25%,47.25%
2024-11-26 15:28:12,35.25%,37.00%,26.00%,19.25%
