Timestamp,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
2024-11-26 16:48:51,35.25%,40.00%,24.25%,25.00%,26.25%,27.25%,25.50%,28.25%
2024-11-26 16:48:53,25.00%,24.25%,21.00%,29.25%,31.50%,30.25%,23.50%,31.00%
2024-11-26 16:48:55,25.00%,26.00%,30.25%,29.25%,27.25%,33.00%,36.50%,23.00%
2024-11-26 16:48:57,25.25%,35.50%,21.00%,31.25%,32.25%,32.25%,38.00%,32.00%
2024-11-26 16:48:59,23.00%,34.50%,35.25%,32.00%,31.25%,25.00%,39.00%,34.00%
2024-11-26 16:49:01,38.25%,37.00%,35.25%,39.00%,30.00%,33.25%,37.25%,35.25%
2024-11-26 16:49:03,27.25%,33.50%,26.00%,32.25%,26.00%,33.00%,31.25%,33.50%
2024-11-26 16:49:05,24.00%,25.00%,38.50%,31.00%,35.00%,22.50%,29.25%,33.00%
2024-11-26 16:49:07,34.25%,21.25%,34.25%,25.25%,25.25%,36.25%,30.00%,27.00%
2024-11-26 16:49:09,35.25%,34.00%,31.25%,27.25%,23.50%,34.25%,31.25%,40.25%
2024-11-26 16:49:11,28.25%,31.25%,32.00%,31.25%,35.00%,32.00%,27.00%,29.00%
2024-11-26 16:49:13,25.25%,38.50%,39.00%,32.50%,20.25%,29.25%,33.00%,34.25%
2024-11-26 16:49:15,31.25%,20.50%,35.25%,18.00%,34.25%,29.00%,30.50%,35.25%
2024-11-26 16:49:17,34.00%,34.25%,25.25%,25.25%,33.25%,34.00%,29.25%,26.25%
2024-11-26 16:49:19,34.25%,25.00%,20.25%,26.25%,31.25%,28.00%,32.25%,21.25%
2024-11-26 16:49:21,27.50%,30.00%,22.25%,27.25%,33.50%,36.25%,37.50%,27.25%
2024-11-26 16:49:23,38.00%,29.25%,31.25%,38.25%,35.25%,30.00%,28.25%,24.00%
2024-11-26 16:49:25,30.50%,30.00%,29.25%,28.50%,31.25%,22.00%,34.25%,41.00%
2024-11-26 16:49:27,24.25%,35.50%,25.25%,32.25%,25.25%,29.25%,28.50%,24.25%
2024-11-26 16:49:29,36.25%,30.00%,40.25%,42.25%,28.25%,21.50%,24.25%,20.25%
2024-11-26 16:49:31,18.00%,35.00%,30.50%,25.25%,27.00%,36.00%,23.25%,35.25%
2024-11-26 16:49:33,30.25%,32.50%,33.25%,32.25%,36.25%,25.50%,24.25%,30.00%
2024-11-26 16:49:35,31.25%,27.25%,30.25%,28.74%,28.00%,28.00%,30.25%,31.00%
2024-11-26 16:49:37,29.25%,N/A,31.25%,27.25%,36.00%,33.25%,23.25%,32.25%
2024-11-26 16:49:39,27.00%,N/A,31.50%,34.25%,33.99%,25.25%,44.00%,38.74%
2024-11-26 16:49:41,32.25%,N/A,31.00%,35.25%,33.25%,28.50%,42.25%,32.00%
2024-11-26 16:49:43,37.25%,N/A,22.00%,35.25%,19.00%,30.25%,35.25%,28.25%
2024-11-26 16:49:45,31.00%,N/A,35.00%,37.25%,41.00%,22.50%,28.25%,31.00%
2024-11-26 16:49:47,42.50%,N/A,36.00%,24.50%,27.50%,32.50%,28.25%,24.00%
2024-11-26 16:49:49,40.25%,37.25%,24.25%,28.00%,33.25%,33.25%,23.00%,31.25%
2024-11-26 16:49:51,34.00%,26.50%,27.25%,28.00%,25.75%,44.25%,31.25%,39.25%
2024-11-26 16:49:53,43.25%,31.00%,41.25%,33.25%,18.50%,35.50%,31.00%,32.25%
2024-11-26 16:49:55,34.25%,40.50%,26.25%,28.00%,22.50%,31.00%,27.50%,24.25%
2024-11-26 16:49:57,27.25%,30.50%,32.00%,37.00%,30.00%,34.00%,26.00%,33.25%
2024-11-26 16:49:59,29.25%,25.25%,41.00%,26.00%,37.00%,26.25%,29.00%,29.99%
2024-11-26 16:50:01,32.25%,42.25%,34.25%,29.25%,27.00%,31.00%,32.75%,32.00%
2024-11-26 16:50:03,33.00%,26.00%,33.00%,28.00%,N/A,36.50%,28.25%,36.25%
2024-11-26 16:50:05,19.00%,32.25%,29.50%,28.25%,N/A,32.25%,26.50%,28.25%
2024-11-26 16:50:07,26.25%,33.00%,25.00%,29.50%,33.25%,40.50%,23.25%,29.00%
2024-11-26 16:50:09,25.50%,29.25%,30.00%,30.00%,28.00%,31.00%,26.00%,36.50%
2024-11-26 16:50:11,25.25%,46.50%,26.00%,21.25%,34.50%,33.00%,25.25%,26.25%
2024-11-26 16:50:13,27.00%,38.00%,32.00%,28.50%,39.00%,30.25%,32.25%,18.00%
2024-11-26 16:50:15,32.25%,25.50%,39.00%,37.00%,15.25%,28.00%,28.50%,40.00%
2024-11-26 16:50:17,25.00%,32.25%,28.50%,30.25%,24.00%,31.25%,23.74%,34.50%
2024-11-26 16:50:19,28.25%,32.25%,31.00%,43.25%,29.75%,23.00%,37.75%,31.25%
2024-11-26 16:50:21,28.25%,25.00%,26.25%,32.25%,23.00%,25.25%,32.00%,29.50%
2024-11-26 16:50:23,31.50%,32.25%,27.25%,33.25%,26.50%,34.25%,36.25%,25.50%
2024-11-26 16:50:25,41.59%,23.50%,26.25%,30.25%,16.75%,21.25%,23.25%,34.00%
2024-11-26 16:50:27,38.00%,31.25%,27.25%,N/A,34.25%,36.02%,32.25%,29.25%
2024-11-26 16:50:29,27.50%,26.74%,37.25%,N/A,35.25%,26.00%,22.25%,24.25%
2024-11-26 16:50:31,28.00%,29.00%,37.25%,N/A,30.75%,25.00%,22.25%,24.25%
